,name,rating,reviews,company_type,headquarters,old,employees
343,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
344,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
345,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
346,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
347,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
348,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
349,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
350,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
351,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
352,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
353,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
354,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
355,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
356,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
357,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
358,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
359,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
360,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
361,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
362,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
363,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
364,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
365,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
366,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
367,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
368,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
369,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
370,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
371,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
372,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
373,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
374,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
375,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
376,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
377,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
378,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
379,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
380,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
381,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
382,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
383,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
384,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
385,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
386,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
387,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
388,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
389,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
390,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
391,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
392,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
393,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
394,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
395,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
396,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
397,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
398,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
399,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
400,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
401,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
402,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
403,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
404,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
405,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
406,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
407,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
408,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
409,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
